vac_switch,boosting_asymptomatic_switch,boosting_symptomatic_switch,sympt_becomes_asympt,eff_asympt_denv1_neg_ep1,eff_asympt_denv1_neg_ep2,eff_asympt_denv1_neg_ep3,eff_asympt_denv1_neg_ep4,eff_asympt_denv2_neg_ep1,eff_asympt_denv2_neg_ep2,eff_asympt_denv2_neg_ep3,eff_asympt_denv2_neg_ep4,eff_asympt_denv3_neg_ep1,eff_asympt_denv3_neg_ep2,eff_asympt_denv3_neg_ep3,eff_asympt_denv3_neg_ep4,eff_asympt_denv4_neg_ep1,eff_asympt_denv4_neg_ep2,eff_asympt_denv4_neg_ep3,eff_asympt_denv4_neg_ep4,eff_asympt_denv1_pos_ep1,eff_asympt_denv1_pos_ep2,eff_asympt_denv1_pos_ep3,eff_asympt_denv1_pos_ep4,eff_asympt_denv2_pos_ep1,eff_asympt_denv2_pos_ep2,eff_asympt_denv2_pos_ep3,eff_asympt_denv2_pos_ep4,eff_asympt_denv3_pos_ep1,eff_asympt_denv3_pos_ep2,eff_asympt_denv3_pos_ep3,eff_asympt_denv3_pos_ep4,eff_asympt_denv4_pos_ep1,eff_asympt_denv4_pos_ep2,eff_asympt_denv4_pos_ep3,eff_asympt_denv4_pos_ep4,eff_sympt_non_hosp_denv1_neg_ep1,eff_sympt_non_hosp_denv1_neg_ep2,eff_sympt_non_hosp_denv1_neg_ep3,eff_sympt_non_hosp_denv1_neg_ep4,eff_sympt_non_hosp_denv2_neg_ep1,eff_sympt_non_hosp_denv2_neg_ep2,eff_sympt_non_hosp_denv2_neg_ep3,eff_sympt_non_hosp_denv2_neg_ep4,eff_sympt_non_hosp_denv3_neg_ep1,eff_sympt_non_hosp_denv3_neg_ep2,eff_sympt_non_hosp_denv3_neg_ep3,eff_sympt_non_hosp_denv3_neg_ep4,eff_sympt_non_hosp_denv4_neg_ep1,eff_sympt_non_hosp_denv4_neg_ep2,eff_sympt_non_hosp_denv4_neg_ep3,eff_sympt_non_hosp_denv4_neg_ep4,eff_sympt_non_hosp_denv1_pos_ep1,eff_sympt_non_hosp_denv1_pos_ep2,eff_sympt_non_hosp_denv1_pos_ep3,eff_sympt_non_hosp_denv1_pos_ep4,eff_sympt_non_hosp_denv2_pos_ep1,eff_sympt_non_hosp_denv2_pos_ep2,eff_sympt_non_hosp_denv2_pos_ep3,eff_sympt_non_hosp_denv2_pos_ep4,eff_sympt_non_hosp_denv3_pos_ep1,eff_sympt_non_hosp_denv3_pos_ep2,eff_sympt_non_hosp_denv3_pos_ep3,eff_sympt_non_hosp_denv3_pos_ep4,eff_sympt_non_hosp_denv4_pos_ep1,eff_sympt_non_hosp_denv4_pos_ep2,eff_sympt_non_hosp_denv4_pos_ep3,eff_sympt_non_hosp_denv4_pos_ep4,eff_sympt_hosp_denv1_neg_ep1,eff_sympt_hosp_denv1_neg_ep2,eff_sympt_hosp_denv1_neg_ep3,eff_sympt_hosp_denv1_neg_ep4,eff_sympt_hosp_denv2_neg_ep1,eff_sympt_hosp_denv2_neg_ep2,eff_sympt_hosp_denv2_neg_ep3,eff_sympt_hosp_denv2_neg_ep4,eff_sympt_hosp_denv3_neg_ep1,eff_sympt_hosp_denv3_neg_ep2,eff_sympt_hosp_denv3_neg_ep3,eff_sympt_hosp_denv3_neg_ep4,eff_sympt_hosp_denv4_neg_ep1,eff_sympt_hosp_denv4_neg_ep2,eff_sympt_hosp_denv4_neg_ep3,eff_sympt_hosp_denv4_neg_ep4,eff_sympt_hosp_denv1_pos_ep1,eff_sympt_hosp_denv1_pos_ep2,eff_sympt_hosp_denv1_pos_ep3,eff_sympt_hosp_denv1_pos_ep4,eff_sympt_hosp_denv2_pos_ep1,eff_sympt_hosp_denv2_pos_ep2,eff_sympt_hosp_denv2_pos_ep3,eff_sympt_hosp_denv2_pos_ep4,eff_sympt_hosp_denv3_pos_ep1,eff_sympt_hosp_denv3_pos_ep2,eff_sympt_hosp_denv3_pos_ep3,eff_sympt_hosp_denv3_pos_ep4,eff_sympt_hosp_denv4_pos_ep1,eff_sympt_hosp_denv4_pos_ep2,eff_sympt_hosp_denv4_pos_ep3,eff_sympt_hosp_denv4_pos_ep4,level_infect_sympt_vac,level_infect_asympt_vac
TRUE,FALSE,TRUE,TRUE,0.28108155,0.359822808,0.359822808,0.359822808,0.28108155,0.359822808,0.359822808,0.359822808,0.28108155,0.359822808,0.359822808,0.359822808,0.28108155,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.359822808,0.5621631,0.719645616,0.719645616,0.719645616,0.5621631,0.719645616,0.719645616,0.719645616,0.5621631,0.719645616,0.719645616,0.719645616,0.5621631,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.719645616,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,2,1
,,,,0.20243962,0.265714751,0.265714751,0.265714751,0.20243962,0.265714751,0.265714751,0.265714751,0.20243962,0.265714751,0.265714751,0.265714751,0.20243962,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.265714751,0.404879239,0.531429502,0.531429502,0.531429502,0.404879239,0.531429502,0.531429502,0.531429502,0.404879239,0.531429502,0.531429502,0.531429502,0.404879239,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.531429502,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.173787951,0.230776294,0.230776294,0.230776294,0.173787951,0.230776294,0.230776294,0.230776294,0.173787951,0.230776294,0.230776294,0.230776294,0.173787951,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.230776294,0.347575902,0.461552588,0.461552588,0.461552588,0.347575902,0.461552588,0.461552588,0.461552588,0.347575902,0.461552588,0.461552588,0.461552588,0.347575902,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.461552588,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.157168271,0.210311813,0.210311813,0.210311813,0.157168271,0.210311813,0.210311813,0.210311813,0.157168271,0.210311813,0.210311813,0.210311813,0.157168271,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.210311813,0.314336542,0.420623626,0.420623626,0.420623626,0.314336542,0.420623626,0.420623626,0.420623626,0.314336542,0.420623626,0.420623626,0.420623626,0.314336542,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.420623626,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.14580039,0.196219715,0.196219715,0.196219715,0.14580039,0.196219715,0.196219715,0.196219715,0.14580039,0.196219715,0.196219715,0.196219715,0.14580039,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.196219715,0.29160078,0.39243943,0.39243943,0.39243943,0.29160078,0.39243943,0.39243943,0.39243943,0.29160078,0.39243943,0.39243943,0.39243943,0.29160078,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.39243943,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.137316633,0.185648509,0.185648509,0.185648509,0.137316633,0.185648509,0.185648509,0.185648509,0.137316633,0.185648509,0.185648509,0.185648509,0.137316633,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.185648509,0.274633266,0.371297017,0.371297017,0.371297017,0.274633266,0.371297017,0.371297017,0.371297017,0.274633266,0.371297017,0.371297017,0.371297017,0.274633266,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.371297017,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.130631861,0.177283931,0.177283931,0.177283931,0.130631861,0.177283931,0.177283931,0.177283931,0.130631861,0.177283931,0.177283931,0.177283931,0.130631861,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.177283931,0.261263721,0.354567862,0.354567862,0.354567862,0.261263721,0.354567862,0.354567862,0.354567862,0.261263721,0.354567862,0.354567862,0.354567862,0.261263721,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.354567862,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.12516498,0.170419062,0.170419062,0.170419062,0.12516498,0.170419062,0.170419062,0.170419062,0.12516498,0.170419062,0.170419062,0.170419062,0.12516498,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.170419062,0.250329961,0.340838124,0.340838124,0.340838124,0.250329961,0.340838124,0.340838124,0.340838124,0.250329961,0.340838124,0.340838124,0.340838124,0.250329961,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.340838124,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.120571272,0.164632993,0.164632993,0.164632993,0.120571272,0.164632993,0.164632993,0.164632993,0.120571272,0.164632993,0.164632993,0.164632993,0.120571272,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.164632993,0.241142544,0.329265986,0.329265986,0.329265986,0.241142544,0.329265986,0.329265986,0.329265986,0.241142544,0.329265986,0.329265986,0.329265986,0.241142544,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.329265986,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.116630769,0.159656293,0.159656293,0.159656293,0.116630769,0.159656293,0.159656293,0.159656293,0.116630769,0.159656293,0.159656293,0.159656293,0.116630769,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.159656293,0.233261537,0.319312586,0.319312586,0.319312586,0.233261537,0.319312586,0.319312586,0.319312586,0.233261537,0.319312586,0.319312586,0.319312586,0.233261537,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.319312586,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.11319521,0.155306862,0.155306862,0.155306862,0.11319521,0.155306862,0.155306862,0.155306862,0.11319521,0.155306862,0.155306862,0.155306862,0.11319521,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.155306862,0.22639042,0.310613723,0.310613723,0.310613723,0.22639042,0.310613723,0.310613723,0.310613723,0.22639042,0.310613723,0.310613723,0.310613723,0.22639042,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.310613723,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.110160306,0.151456291,0.151456291,0.151456291,0.110160306,0.151456291,0.151456291,0.151456291,0.110160306,0.151456291,0.151456291,0.151456291,0.110160306,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.151456291,0.220320612,0.302912582,0.302912582,0.302912582,0.220320612,0.302912582,0.302912582,0.302912582,0.220320612,0.302912582,0.302912582,0.302912582,0.220320612,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.302912582,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
,,,,0.10745014,0.148010901,0.148010901,0.148010901,0.10745014,0.148010901,0.148010901,0.148010901,0.10745014,0.148010901,0.148010901,0.148010901,0.10745014,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.148010901,0.21490028,0.296021801,0.296021801,0.296021801,0.21490028,0.296021801,0.296021801,0.296021801,0.21490028,0.296021801,0.296021801,0.296021801,0.21490028,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.296021801,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,,
